cve_id,executive_summary,exploitation_consequence,observed_in_the_wild
CVE-2022-34717,"An unspecified vulnerability exists within Microsoft Office LTSC 2021 for 64-bit editions and earlier that, when exploited, allows a local attacker to remotely execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4436,"A use after free vulnerability exists within Blink Media in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4437,"A use after free vulnerability exists within Mojo IPC in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4438,"A use after free vulnerability exists within Blink Frames in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4439,"A use after free vulnerability exists within Aura in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4440,"A use after free vulnerability exists within Profiles in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4436,"A use after free vulnerability exists within Blink Media in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4437,"A use after free vulnerability exists within Mojo IPC in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4438,"A use after free vulnerability exists within Blink Frames in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4439,"A use after free vulnerability exists within Aura in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2022-4440,"A use after free vulnerability exists within Profiles in Google Chrome&nbsp;108.0.5359.99 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0128,"A use after free vulnerability exists within Overview Mode in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0129,"A heap-based buffer overflow vulnerability exists within the Network Service in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0130,"An unspecified vulnerability exists within the Fullscreen API in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to perform unspecified actions. Exploit code is not publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2023-0131,"An unspecified vulnerability exists within the iframe Sandbox in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to perform unspecified actions. Exploit code is not publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2023-0132,"An unspecified vulnerability exists within Permission prompts in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to perform unspecified actions. Exploit code is not publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2023-0134,"A use after free vulnerability exists within Cart in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0135,"A use after free vulnerability exists within Cart in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0136,"An unspecified vulnerability exists within the Fullscreen API in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to perform unspecified actions. Exploit code is not publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2023-0137,"A heap-based buffer overflow vulnerability exists within Platform Apps in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to execute arbitrary code. Exploit code is not publicly available. Mitigation options include a vendor fix.",Code Execution,false
CVE-2023-0138,"A heap-based buffer overflow vulnerability exists within libphonenumber in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix.",Denial-of-Service (DoS),false
CVE-2023-0139,"An insufficient verification of data authenticity vulnerability exists within Downloads in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to cause a denial-of-service (DoS) condition. Exploit code is not publicly available. Mitigation options include a vendor fix.",Denial-of-Service (DoS),false
CVE-2023-0140,"An unspecified vulnerability exists within the File System API in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to perform unspecified actions. Exploit code is not publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2023-0141,"An improper authorization vulnerability exists within CORS in Google Chrome 108.0.5359.125 and earlier that, when exploited, allows a remote attacker to disclose potentially sensitive information. Exploit code is not publicly available. Mitigation options include a vendor fix.",Information Disclosure,false
CVE-2004-2761,"A cryptographic vulnerability exists within the X.509 Certificate MD5 Signature in multiple products that, when exploited, allows an attacker to remotely spoof certificates. Proof-of-concept (PoC) details are publicly available. Mitigation options include a vendor fix.",Security Bypass,false
CVE-2009-0901,"An unspecified vulnerability exists in the Active Template Library (ATL) in Microsoft's Visual Studio 2008 Service Pack 1 and earlier that, when exploited, allows attackers to remotely execute arbitrary code. Exploit code is not publicly available. Mitigation options include workarounds and a vendor fix.",Code Execution,false
CVE-2009-2493,"An unspecified vulnerability exists in the Active Template Library (ATL) in Microsoft's Visual Studio 2008 Service Pack 1 and earlier that, when exploited, allows an attacker to remotely execute arbitrary code. Exploit code is not publicly available, although limited targeted attacks are reportedly occurring in the wild. Mitigation options include workarounds and a vendor fix. ",Code Execution,false
CVE-2009-2495,"An unspecified vulnerability exists in handling ATL strings in Microsoft's Visual Studio 2008 Service Pack 1 and earlier that, when exploited, allows attackers to remotely discover potentially sensitive information. Exploit code is not publicly available. Mitigation options include workarounds and a vendor fix.",Information Disclosure,false
CVE-2016-2183,"A cryptographic issues vulnerability exists within the 3DES cipher in OpenSSL 1.0.2 and earlier that, when exploited, allows an attacker to remotely disclose plaintext data via birthday attacks. Exploit code is not publicly available. Mitigation options include a vendor fix.",Information Disclosure,false
